date,marketname,itemname,kindname,price
2023-06-02,엄궁도매,사과,후지(1kg),"5,600"
2023-06-05,엄궁도매,사과,후지(1kg),"5,600"
2023-06-07,엄궁도매,사과,후지(1kg),"5,830"
2023-06-08,엄궁도매,사과,후지(1kg),"5,830"
2023-06-09,엄궁도매,사과,후지(1kg),"5,830"
2023-06-12,엄궁도매,사과,후지(1kg),"5,830"
2023-06-13,엄궁도매,사과,후지(1kg),"5,830"
2023-06-14,엄궁도매,사과,후지(1kg),"5,830"
2023-06-15,엄궁도매,사과,후지(1kg),"6,030"
2023-06-16,엄궁도매,사과,후지(1kg),"6,230"
2023-06-19,엄궁도매,사과,후지(1kg),"6,230"
2023-06-20,엄궁도매,사과,후지(1kg),"6,430"
2023-06-21,엄궁도매,사과,후지(1kg),"6,430"
2023-06-22,엄궁도매,사과,후지(1kg),"6,760"
2023-06-23,엄궁도매,사과,후지(1kg),"6,760"
2023-06-26,엄궁도매,사과,후지(1kg),"6,760"
2023-06-27,엄궁도매,사과,후지(1kg),"6,760"
2023-06-28,엄궁도매,사과,후지(1kg),"6,760"
2023-06-29,엄궁도매,사과,후지(1kg),"6,760"
2023-06-30,엄궁도매,사과,후지(1kg),"6,760"
2023-07-03,엄궁도매,사과,후지(1kg),"7,200"
2023-07-04,엄궁도매,사과,후지(1kg),"7,200"
2023-07-05,엄궁도매,사과,후지(1kg),"7,200"
2023-07-06,엄궁도매,사과,후지(1kg),"7,200"
2023-07-07,엄궁도매,사과,후지(1kg),"7,200"
2023-07-10,엄궁도매,사과,후지(1kg),"7,200"
2023-07-11,엄궁도매,사과,후지(1kg),"7,500"
2023-07-12,엄궁도매,사과,후지(1kg),"7,500"
2023-07-13,엄궁도매,사과,후지(1kg),"7,500"
2023-07-14,엄궁도매,사과,후지(1kg),"7,500"
2023-07-17,엄궁도매,사과,후지(1kg),"7,500"
2023-07-18,엄궁도매,사과,후지(1kg),"7,500"
2023-07-19,엄궁도매,사과,후지(1kg),"7,500"
2023-07-20,엄궁도매,사과,후지(1kg),"7,500"
2023-07-21,엄궁도매,사과,후지(1kg),"7,500"
2023-07-24,엄궁도매,사과,후지(1kg),"7,500"
2023-07-25,엄궁도매,사과,후지(1kg),"7,500"
2023-07-26,엄궁도매,사과,후지(1kg),"7,500"
2023-07-27,엄궁도매,사과,후지(1kg),"7,500"
2023-07-28,엄궁도매,사과,후지(1kg),"7,500"
2023-07-31,엄궁도매,사과,후지(1kg),"7,500"
2023-08-01,엄궁도매,사과,후지(1kg),"7,500"
2023-08-02,엄궁도매,사과,후지(1kg),"7,500"
2023-08-03,엄궁도매,사과,후지(1kg),"7,500"
2023-08-04,엄궁도매,사과,후지(1kg),"7,500"
2023-08-07,엄궁도매,사과,후지(1kg),"7,500"
2023-08-08,엄궁도매,사과,후지(1kg),"7,500"
2023-08-09,엄궁도매,사과,후지(1kg),"7,500"
2023-08-10,엄궁도매,사과,후지(1kg),"7,500"
2023-10-12,엄궁도매,사과,후지(1kg),"7,500"
2023-10-13,엄궁도매,사과,후지(1kg),"7,500"
2023-10-16,엄궁도매,사과,후지(1kg),"7,500"
2023-10-17,엄궁도매,사과,후지(1kg),"7,300"
2023-10-18,엄궁도매,사과,후지(1kg),"7,300"
2023-10-19,엄궁도매,사과,후지(1kg),"7,000"
2023-10-20,엄궁도매,사과,후지(1kg),"7,000"
2023-10-23,엄궁도매,사과,후지(1kg),"7,000"
2023-10-24,엄궁도매,사과,후지(1kg),"7,000"
2023-10-25,엄궁도매,사과,후지(1kg),"7,000"
2023-10-26,엄궁도매,사과,후지(1kg),"7,000"
2023-10-27,엄궁도매,사과,후지(1kg),"6,600"
2023-10-30,엄궁도매,사과,후지(1kg),"6,600"
2023-10-31,엄궁도매,사과,후지(1kg),"6,300"
2023-11-01,엄궁도매,사과,후지(1kg),"6,300"
2023-11-02,엄궁도매,사과,후지(1kg),"6,300"
2023-11-03,엄궁도매,사과,후지(1kg),"6,300"
2023-11-06,엄궁도매,사과,후지(1kg),"6,300"
2023-11-07,엄궁도매,사과,후지(1kg),"6,300"
2023-11-08,엄궁도매,사과,후지(1kg),"6,300"
2023-11-09,엄궁도매,사과,후지(1kg),"6,300"
2023-11-10,엄궁도매,사과,후지(1kg),"6,000"
2023-11-13,엄궁도매,사과,후지(1kg),"6,300"
2023-11-14,엄궁도매,사과,후지(1kg),"6,500"
2023-11-15,엄궁도매,사과,후지(1kg),"6,800"
2023-11-16,엄궁도매,사과,후지(1kg),"6,800"
2023-11-17,엄궁도매,사과,후지(1kg),"6,800"
2023-11-20,엄궁도매,사과,후지(1kg),"6,800"
2023-11-21,엄궁도매,사과,후지(1kg),"7,300"
2023-11-22,엄궁도매,사과,후지(1kg),"7,600"
2023-11-23,엄궁도매,사과,후지(1kg),"7,900"
2023-11-24,엄궁도매,사과,후지(1kg),"7,900"
2023-11-27,엄궁도매,사과,후지(1kg),"7,900"
2023-11-28,엄궁도매,사과,후지(1kg),"7,900"
2023-11-29,엄궁도매,사과,후지(1kg),"7,900"
2023-11-30,엄궁도매,사과,후지(1kg),"7,900"
2023-12-04,엄궁도매,사과,후지(1kg),"8,200"
2023-12-05,엄궁도매,사과,후지(1kg),"8,200"
2023-12-06,엄궁도매,사과,후지(1kg),"8,200"
2023-12-07,엄궁도매,사과,후지(1kg),"8,200"
2023-12-08,엄궁도매,사과,후지(1kg),"8,200"
2023-12-11,엄궁도매,사과,후지(1kg),"8,200"
2023-12-12,엄궁도매,사과,후지(1kg),"8,200"
2023-12-13,엄궁도매,사과,후지(1kg),"8,200"
2023-12-14,엄궁도매,사과,후지(1kg),"8,000"
2023-12-15,엄궁도매,사과,후지(1kg),"8,000"
2023-12-18,엄궁도매,사과,후지(1kg),"8,000"
2023-12-19,엄궁도매,사과,후지(1kg),"8,000"
2023-12-20,엄궁도매,사과,후지(1kg),"8,000"
2023-12-21,엄궁도매,사과,후지(1kg),"8,000"
2023-12-22,엄궁도매,사과,후지(1kg),"8,000"
2023-12-26,엄궁도매,사과,후지(1kg),"8,000"
2023-12-27,엄궁도매,사과,후지(1kg),"8,000"
2023-12-28,엄궁도매,사과,후지(1kg),"8,000"
2023-12-29,엄궁도매,사과,후지(1kg),"8,000"
2024-01-02,엄궁도매,사과,후지(1kg),"8,000"
2024-01-03,엄궁도매,사과,후지(1kg),"8,400"
2024-01-04,엄궁도매,사과,후지(1kg),"8,400"
2024-01-05,엄궁도매,사과,후지(1kg),"8,500"
2024-01-08,엄궁도매,사과,후지(1kg),"8,700"
2024-01-09,엄궁도매,사과,후지(1kg),"8,700"
2024-01-10,엄궁도매,사과,후지(1kg),"8,900"
2024-01-11,엄궁도매,사과,후지(1kg),"8,900"
2024-01-12,엄궁도매,사과,후지(1kg),"9,200"
2024-01-15,엄궁도매,사과,후지(1kg),"9,200"
2024-01-16,엄궁도매,사과,후지(1kg),"9,200"
2024-01-17,엄궁도매,사과,후지(1kg),"9,200"
2024-01-18,엄궁도매,사과,후지(1kg),"9,000"
2024-01-19,엄궁도매,사과,후지(1kg),"8,800"
2024-01-22,엄궁도매,사과,후지(1kg),"8,800"
2024-01-23,엄궁도매,사과,후지(1kg),"8,800"
2024-01-24,엄궁도매,사과,후지(1kg),"8,800"
2024-01-25,엄궁도매,사과,후지(1kg),"8,800"
2024-01-26,엄궁도매,사과,후지(1kg),"8,800"
2024-01-29,엄궁도매,사과,후지(1kg),"8,800"
2024-01-30,엄궁도매,사과,후지(1kg),"8,800"
2024-01-31,엄궁도매,사과,후지(1kg),"8,500"
2024-02-01,엄궁도매,사과,후지(1kg),"8,500"
2024-02-02,엄궁도매,사과,후지(1kg),"8,500"
2024-02-05,엄궁도매,사과,후지(1kg),"8,500"
2024-02-06,엄궁도매,사과,후지(1kg),"8,500"
2024-02-07,엄궁도매,사과,후지(1kg),"8,500"
2024-02-08,엄궁도매,사과,후지(1kg),"8,500"
2024-02-13,엄궁도매,사과,후지(1kg),"8,500"
2024-02-14,엄궁도매,사과,후지(1kg),"8,500"
2024-02-15,엄궁도매,사과,후지(1kg),"8,500"
2024-02-16,엄궁도매,사과,후지(1kg),"8,500"
2024-02-19,엄궁도매,사과,후지(1kg),"8,500"
2024-02-20,엄궁도매,사과,후지(1kg),"8,500"
2024-02-21,엄궁도매,사과,후지(1kg),"8,500"
2024-02-22,엄궁도매,사과,후지(1kg),"8,700"
2024-02-23,엄궁도매,사과,후지(1kg),"8,700"
2024-02-26,엄궁도매,사과,후지(1kg),"8,700"
2024-02-27,엄궁도매,사과,후지(1kg),"8,700"
2024-02-28,엄궁도매,사과,후지(1kg),"8,700"
2024-02-29,엄궁도매,사과,후지(1kg),"8,700"
2024-03-04,엄궁도매,사과,후지(1kg),"9,000"
2024-03-05,엄궁도매,사과,후지(1kg),"9,000"
2024-03-06,엄궁도매,사과,후지(1kg),"9,000"
2024-03-07,엄궁도매,사과,후지(1kg),"9,000"
2024-03-08,엄궁도매,사과,후지(1kg),"9,000"
2024-03-11,엄궁도매,사과,후지(1kg),"9,000"
2024-03-12,엄궁도매,사과,후지(1kg),"9,000"
2024-03-13,엄궁도매,사과,후지(1kg),"9,000"
2024-03-14,엄궁도매,사과,후지(1kg),"9,000"
2024-03-15,엄궁도매,사과,후지(1kg),"9,000"
2024-03-18,엄궁도매,사과,후지(1kg),"9,000"
2024-03-19,엄궁도매,사과,후지(1kg),"9,000"
2024-03-20,엄궁도매,사과,후지(1kg),"9,000"
2024-03-21,엄궁도매,사과,후지(1kg),"8,700"
2024-03-22,엄궁도매,사과,후지(1kg),"8,700"
2024-03-25,엄궁도매,사과,후지(1kg),"8,900"
2024-03-26,엄궁도매,사과,후지(1kg),"8,900"
2024-03-27,엄궁도매,사과,후지(1kg),"8,900"
2024-03-28,엄궁도매,사과,후지(1kg),"8,900"
2024-03-29,엄궁도매,사과,후지(1kg),"8,900"
2024-04-01,엄궁도매,사과,후지(1kg),"8,900"
2024-04-02,엄궁도매,사과,후지(1kg),"8,900"
2024-04-03,엄궁도매,사과,후지(1kg),"8,900"
2024-04-04,엄궁도매,사과,후지(1kg),"8,900"
2024-04-05,엄궁도매,사과,후지(1kg),"8,900"
2024-04-08,엄궁도매,사과,후지(1kg),"8,900"
2024-04-09,엄궁도매,사과,후지(1kg),"8,900"
2024-04-11,엄궁도매,사과,후지(1kg),"8,900"
2024-04-12,엄궁도매,사과,후지(1kg),"9,000"
2024-04-15,엄궁도매,사과,후지(1kg),"9,300"
2024-04-16,엄궁도매,사과,후지(1kg),"9,300"
2024-04-17,엄궁도매,사과,후지(1kg),"9,300"
2024-04-18,엄궁도매,사과,후지(1kg),"9,300"
2024-04-19,엄궁도매,사과,후지(1kg),"9,300"
2024-04-22,엄궁도매,사과,후지(1kg),"9,300"
2024-04-23,엄궁도매,사과,후지(1kg),"9,300"
2024-04-24,엄궁도매,사과,후지(1kg),"9,300"
2024-04-25,엄궁도매,사과,후지(1kg),"9,300"
2024-04-26,엄궁도매,사과,후지(1kg),"9,300"
2024-04-29,엄궁도매,사과,후지(1kg),"9,300"
2024-04-30,엄궁도매,사과,후지(1kg),"9,300"
2024-05-02,엄궁도매,사과,후지(1kg),"9,300"
2024-05-03,엄궁도매,사과,후지(1kg),"9,300"
2024-05-07,엄궁도매,사과,후지(1kg),"9,300"
2024-05-08,엄궁도매,사과,후지(1kg),"9,300"
2024-05-09,엄궁도매,사과,후지(1kg),"9,300"
2024-05-10,엄궁도매,사과,후지(1kg),"9,300"
2024-05-13,엄궁도매,사과,후지(1kg),"9,300"
2024-05-14,엄궁도매,사과,후지(1kg),"9,300"
2024-05-16,엄궁도매,사과,후지(1kg),"9,300"
2024-05-17,엄궁도매,사과,후지(1kg),"9,300"
2024-05-20,엄궁도매,사과,후지(1kg),"9,300"
2024-05-21,엄궁도매,사과,후지(1kg),"9,300"
2024-05-22,엄궁도매,사과,후지(1kg),"9,100"
2024-05-23,엄궁도매,사과,후지(1kg),"9,100"
2024-05-24,엄궁도매,사과,후지(1kg),"9,100"
2024-05-27,엄궁도매,사과,후지(1kg),"9,100"
2024-05-28,엄궁도매,사과,후지(1kg),"9,100"
2024-05-29,엄궁도매,사과,후지(1kg),"9,100"
2024-05-30,엄궁도매,사과,후지(1kg),"9,400"
2024-05-31,엄궁도매,사과,후지(1kg),"9,400"